,Publish_time,Video_title,View,Like,Comment,Video_ID
255,2021-09-12,RONALDO TÁI XUẤT - LUKAKU LẬP CÔNG ,95212,674,54,FdRuCon_RLA
256,2021-09-11,CHELSEA - ASTON VILLA,1596936,15874,2128,eiS3zFqhl58
257,2021-09-11,WATFORD - WOLVERHAMPTON ,433496,3623,288,Gfe8i9GDfnk
258,2021-09-11,BRENTFORD - BRIGHTON ,158364,1076,63,SE630lGZCEI
259,2021-09-11,SOUTHAMPTON - WEST HAM ,340326,2113,149,WFFMnFBHVyY
260,2021-09-11,ARSENAL - NORWICH ,770834,6294,805,RH_kjdrU8Y4
261,2021-09-11,MANCHESTER UNITED - NEWCASTLE ,5553914,71755,8399,L_UgDh0IlGU
262,2021-09-11,LEICESTER - MAN CITY,1247574,10226,837,yNdekMFD0GQ
263,2021-09-11,CRYSTAL PALACE - TOTTENHAM ,891951,7894,1217,PJbfrvDVbT8
264,2021-09-11,NHẬN ĐỊNH VÒNG 4 ,88024,825,119,R7Tc9PBYeVA
265,2021-09-10,MAN UTD - NEWCASTLE ,652401,6027,556,itL8DgYg0hI
266,2021-09-10,ARSENAL - NORWICH ,121886,1434,463,0o1zWq31F-s
267,2021-09-09,JESSE LINGARD KHÔNG GIA HẠN HỢP ĐỒNG VÀ SỰ THẬT PHŨ PHÀNG VỀ MANCHESTER UNITED ,213553,2457,562,C-vdJ57pv4s
268,2021-09-05,SIR ALEX FERGUSON - RONALDO ,329632,4931,522,hdI1W71YDlU
269,2021-09-04,ARSENAL TRONG NỖI NHỚ ARSENE WENGER  - QUÁ KHỨ KHÔNG THỂ TRỞ VỀ ,407835,7260,1910,5TTPHa4YRrM
270,2021-09-03,NHỮNG DANH THỦ QUAY LẠI ĐỘI BÓNG CŨ - ĐI THẬT XA ĐỂ TRỞ VỀ ,60032,510,53,C0YOcV3i4Ls
271,2021-09-02,MAN UTD - MÙA HÈ CHUYỂN NHƯỢNG THÀNH CÔNG VÀ ĐỘI HÌNH TỐI ƯU VỚI RONALDO TRONG MÙA GIẢI MỚI,177989,2213,432,qeZswam0dME
272,2021-09-01,MÙA HÈ CHUYỂN NHƯỢNG ''CHẤN ĐỘNG'' BÓNG ĐÁ THẾ GIỚI ,132569,1196,178,uUjtye488wI
273,2021-08-29,WOLVERHAMPTON - MANCHESTER UNITED ,2133282,21558,3940,d1rt3EE2oZw
274,2021-08-29,BURNLEY - LEEDS UTD ,291595,2201,138,EuMw8lArFPc
275,2021-08-29,TOTTENHAM - WATFORD,883605,8482,675,IDA5lAEVWEM
276,2021-08-28,LIVERPOOL - CHELSEA ,3221017,22700,3936,-8495JVODsE
277,2021-08-28,NEWCASTLE - SOUTHAMPTON ,465293,3126,181,fYsYuPBTHo0
278,2021-08-28,ASTON VILLA - BRENTFORD,306963,2459,192,jE9TK2PGHb0
279,2021-08-28,BRIGHTON - EVERTON ,469284,3468,174,JINDD6LbXEU
280,2021-08-28,NORWICH - LEICESTER,375905,2867,271,vIPWJjuKQVw
281,2021-08-28,WEST HAM - CRYSTAL PALACE ,327155,2508,239,OqDavFNccGo
282,2021-08-28,MANCHESTER CITY - ARSENAL ,1649978,16972,2970,gGKo8RBwqtw
283,2021-08-23,WEST HAM - LEICESTER ,958864,8850,1073,lEyoH_PFAnA
284,2021-08-22,ARSENAL - CHELSEA,1829767,19497,2386,oFFu4wKIEQ4
285,2021-08-22,WOLVES - TOTTENHAM,1228505,9803,605,AFh_KgAb3qY
286,2021-08-22,SOUTHAMPTON - MANCHESTER UNITED ,1381885,10359,2274,11m3z44QaH0
287,2021-08-21,BRIGHTON - WATFORD ,248970,1919,122,bEBmunxnI8Y
288,2021-08-21,LEEDS UTD - EVERTON ,1319535,7842,524,iIl1TBhEKiM
289,2021-08-21,CRYSTAL PALACE - BRENTFORD ,254236,1921,74,KDrELo_zeyg
290,2021-08-21,ASTON VILLA - NEWCASTLE,405269,3202,214,gIyKtY8u9ZI
291,2021-08-21,MANCHESTER CITY - NORWICH CITY ,1312324,12218,1166,Y1G-MDyZ_4I
292,2021-08-21,LIVERPOOL - BURNLEY ,1219930,9857,717,0WkHwjX5IDo
293,2021-08-15,TOTTENHAM - MAN CITY ,1987536,19978,2606,VxN938t1jZo
294,2021-08-15,NEWCASTLE - WEST HAM ,591436,4863,333,OGoWy0y8Qww
295,2021-08-14,NORWICH CITY - LIVERPOOL ,1249681,11140,646,aG9MuDa3Kzc
296,2021-08-14,BURNLEY - BRIGHTON ,364444,2289,145,T6UDOqEGCLY
297,2021-08-14,EVERTON - SOUTHAMPTON ,1181793,6094,389,8P41oW00OAA
298,2021-08-14,WATFORD - ASTON VILLA ,474703,3449,335,Rz4B7kkctk8
299,2021-08-14,LEICESTER - WOLVES ,584486,5152,379,E9z6tYn0eMk
300,2021-08-14,CHELSEA - CRYSTAL PALACE ,1000737,9970,790,YwPa2lRbXYQ
301,2021-08-14,MANCHESTER UNITED - LEEDS UNITED ,3130773,31910,3751,zBCWDI8mfbQ
302,2021-08-13,BRENTFORD - ARSENAL ,1136290,13352,2658,1MWCKMpLXPM
